Model,Test_RMSE,Test_R2,Test_MAE,Timestamp,Target_Column
Linear Regression,177221.6076320756,0.999668800215547,12096.210678334357,20260206_100916,2020
Decision Tree,8039741.632037993,0.3183822577595662,355867.44774434535,20260206_100916,2020
Ridge Regression,27212382.62240549,-6.808899603815069,2207754.3315898725,20260206_100916,2020
Lasso Regression,3031572422.8656545,-96914.3564322576,154130041.00949246,20260206_100916,2020
Gradient Boosting,3297172674.059824,-114640.0316307975,85607173.55606869,20260206_100916,2020
Random Forest,18194456666.119606,-3490878.7072781106,939880466.8781184,20260206_100916,2020
